Gender,Income_Label,Discount_Used,Age_Group,Purchase_Category,total_purchases,total_returns,Return_%,low_base
Female,High,False,21–30,Electronics,3,2.0,66.7,False
Female,High,False,21–30,Food & Beverages,4,2.0,50.0,False
Female,High,False,21–30,Health Care,3,0.0,0.0,False
Female,High,False,21–30,Luxury Goods,5,5.0,100.0,False
Female,High,False,21–30,Office Supplies,3,3.0,100.0,False
Female,High,False,21–30,Packages),4,3.0,75.0,False
Female,High,False,31–40,Arts & Crafts,5,2.0,40.0,False
Female,High,False,31–40,Baby Products,3,3.0,100.0,False
Female,High,False,31–40,Books,3,1.0,33.3,False
Female,High,False,31–40,Jewelry & Accessories,3,2.0,66.7,False
Female,High,False,41–50,Animal Feed,3,3.0,100.0,False
Female,High,False,41–50,Electronics,5,2.0,40.0,False
Female,High,False,41–50,Jewelry & Accessories,4,2.0,50.0,False
Female,High,False,41–50,Mobile Accessories,3,2.0,66.7,False
Female,High,False,41–50,Sports & Outdoors,3,2.0,66.7,False
Female,High,True,<=20,Electronics,3,3.0,100.0,False
Female,High,True,21–30,Books,3,1.0,33.3,False
Female,High,True,21–30,Clothing,3,2.0,66.7,False
Female,High,True,21–30,Hotels,3,2.0,66.7,False
Female,High,True,21–30,Toys & Games,3,1.0,33.3,False
Female,High,True,31–40,Food & Beverages,4,2.0,50.0,False
Female,High,True,31–40,Health Care,4,1.0,25.0,False
Female,High,True,31–40,Sports & Outdoors,4,2.0,50.0,False
Female,High,True,41–50,Animal Feed,3,2.0,66.7,False
Female,High,True,41–50,Beauty & Personal Care,3,1.0,33.3,False
Female,High,True,41–50,Electronics,3,3.0,100.0,False
Female,High,True,41–50,Jewelry & Accessories,5,4.0,80.0,False
Female,Middle,False,21–30,Animal Feed,4,4.0,100.0,False
Female,Middle,False,21–30,Groceries,3,1.0,33.3,False
Female,Middle,False,21–30,Jewelry & Accessories,3,3.0,100.0,False
Female,Middle,False,21–30,Mobile Accessories,4,1.0,25.0,False
Female,Middle,False,21–30,Packages),3,1.0,33.3,False
Female,Middle,False,31–40,Jewelry & Accessories,3,3.0,100.0,False
Female,Middle,False,41–50,Furniture,3,1.0,33.3,False
Female,Middle,False,41–50,Sports & Outdoors,3,1.0,33.3,False
Female,Middle,False,41–50,Toys & Games,5,2.0,40.0,False
Female,Middle,True,21–30,Jewelry & Accessories,3,2.0,66.7,False
Female,Middle,True,21–30,Office Supplies,3,3.0,100.0,False
Female,Middle,True,21–30,Sports & Outdoors,3,2.0,66.7,False
Female,Middle,True,21–30,Toys & Games,3,2.0,66.7,False
Female,Middle,True,21–30,Travel & Leisure (Flights,4,2.0,50.0,False
Female,Middle,True,31–40,Animal Feed,4,3.0,75.0,False
Female,Middle,True,31–40,Electronics,3,2.0,66.7,False
Female,Middle,True,31–40,Health Care,3,2.0,66.7,False
Female,Middle,True,31–40,Travel & Leisure (Flights,3,3.0,100.0,False
Female,Middle,True,41–50,Groceries,3,1.0,33.3,False
Female,Middle,True,41–50,Hotels,3,2.0,66.7,False
Female,Middle,True,41–50,Jewelry & Accessories,3,3.0,100.0,False
Female,Middle,True,41–50,Office Supplies,3,2.0,66.7,False
Female,Middle,True,41–50,Packages),3,2.0,66.7,False
Male,High,False,21–30,Gardening & Outdoors,4,3.0,75.0,False
Male,High,False,21–30,Mobile Accessories,3,2.0,66.7,False
Male,High,False,21–30,Sports & Outdoors,4,3.0,75.0,False
Male,High,False,21–30,Toys & Games,3,1.0,33.3,False
Male,High,False,31–40,Animal Feed,3,2.0,66.7,False
